Episode 0	Reward 552.0	Epsilon 0.999	Steps 4256
Episode 1	Reward 588.0	Epsilon 0.997	Steps 8395
Episode 2	Reward 609.0	Epsilon 0.995	Steps 14322
Episode 3	Reward 528.0	Epsilon 0.994	Steps 18788
Episode 4	Reward 698.0	Epsilon 0.993	Steps 20092
Episode 5	Reward 581.0	Epsilon 0.992	Steps 23955
Episode 6	Reward 433.0	Epsilon 0.991	Steps 28193
Episode 7	Reward 599.0	Epsilon 0.989	Steps 34238
Episode 8	Reward 723.0	Epsilon 0.987	Steps 38344
Episode 9	Reward 506.0	Epsilon 0.986	Steps 42631
Episode 10	Reward 396.0	Epsilon 0.985	Steps 45140
Episode 11	Reward 613.0	Epsilon 0.984	Steps 49268
Episode 12	Reward 575.0	Epsilon 0.982	Steps 55299
Episode 13	Reward 321.0	Epsilon 0.981	Steps 57785
Episode 14	Reward 436.0	Epsilon 0.980	Steps 60107
Episode 15	Reward 495.0	Epsilon 0.979	Steps 64392
Episode 16	Reward 783.0	Epsilon 0.977	Steps 68332
Episode 17	Reward 762.0	Epsilon 0.975	Steps 74363
Episode 18	Reward 297.0	Epsilon 0.974	Steps 78624
Episode 19	Reward 431.0	Epsilon 0.974	Steps 78915
Episode 20	Reward 568.0	Epsilon 0.972	Steps 83190
Episode 21	Reward 397.0	Epsilon 0.972	Steps 83676
Episode 22	Reward 603.0	Epsilon 0.971	Steps 87998
Episode 23	Reward 802.0	Epsilon 0.970	Steps 88743
Episode 24	Reward 499.0	Epsilon 0.969	Steps 92962
Episode 25	Reward 367.0	Epsilon 0.968	Steps 95205
Episode 26	Reward 682.0	Epsilon 0.966	Steps 101250
Episode 27	Reward 234.0	Epsilon 0.966	Steps 101967
Episode 28	Reward 891.0	Epsilon 0.964	Steps 106733
Episode 29	Reward 293.0	Epsilon 0.964	Steps 107271
Episode 30	Reward 365.0	Epsilon 0.963	Steps 111804
Episode 31	Reward 476.0	Epsilon 0.961	Steps 115972
Episode 32	Reward 494.0	Epsilon 0.961	Steps 118221
Episode 33	Reward 703.0	Epsilon 0.959	Steps 124252
Episode 34	Reward 702.0	Epsilon 0.957	Steps 127742
Episode 35	Reward 517.0	Epsilon 0.957	Steps 130073
Episode 36	Reward 668.0	Epsilon 0.955	Steps 133995
Episode 37	Reward 605.0	Epsilon 0.954	Steps 138104
Episode 38	Reward 1028.0	Epsilon 0.953	Steps 141066
Episode 39	Reward 923.0	Epsilon 0.951	Steps 145678
Episode 40	Reward 750.0	Epsilon 0.951	Steps 146346
Episode 41	Reward 939.0	Epsilon 0.951	Steps 147729
Episode 42	Reward 619.0	Epsilon 0.949	Steps 151868
Episode 43	Reward 710.0	Epsilon 0.947	Steps 157884
Episode 44	Reward 969.0	Epsilon 0.946	Steps 162510
Episode 45	Reward 622.0	Epsilon 0.944	Steps 166753
Episode 46	Reward 295.0	Epsilon 0.943	Steps 171018
Episode 47	Reward 437.0	Epsilon 0.942	Steps 175153
Episode 48	Reward 747.0	Epsilon 0.940	Steps 181198
Episode 49	Reward 615.0	Epsilon 0.938	Steps 185315
Episode 50	Reward 656.0	Epsilon 0.937	Steps 187681
Episode 51	Reward 735.0	Epsilon 0.936	Steps 192031
Episode 52	Reward 344.0	Epsilon 0.935	Steps 196207
Episode 53	Reward 518.0	Epsilon 0.934	Steps 198564
Episode 54	Reward 527.0	Epsilon 0.933	Steps 200838
Episode 55	Reward 663.0	Epsilon 0.932	Steps 204918
Episode 56	Reward 524.0	Epsilon 0.932	Steps 205141
Episode 57	Reward 546.0	Epsilon 0.931	Steps 207380
Episode 58	Reward 1122.0	Epsilon 0.930	Steps 210440
Episode 59	Reward 923.0	Epsilon 0.930	Steps 211337
Episode 60	Reward 566.0	Epsilon 0.928	Steps 215477
Episode 61	Reward 763.0	Epsilon 0.926	Steps 221508
Episode 62	Reward 986.0	Epsilon 0.925	Steps 224061
Episode 63	Reward 710.0	Epsilon 0.923	Steps 230105
Episode 64	Reward 632.0	Epsilon 0.923	Steps 232480
Episode 65	Reward 972.0	Epsilon 0.922	Steps 234855
Episode 66	Reward 1285.0	Epsilon 0.921	Steps 237178
Episode 67	Reward 671.0	Epsilon 0.920	Steps 241284
Episode 68	Reward 625.0	Epsilon 0.918	Steps 245412
Episode 69	Reward 1555.0	Epsilon 0.918	Steps 247174
Episode 70	Reward 629.0	Epsilon 0.916	Steps 251342
Episode 71	Reward 956.0	Epsilon 0.915	Steps 254609
Episode 72	Reward 992.0	Epsilon 0.914	Steps 257189
Episode 73	Reward 377.0	Epsilon 0.914	Steps 257528
Episode 74	Reward 936.0	Epsilon 0.913	Steps 260431
Episode 75	Reward 510.0	Epsilon 0.913	Steps 262446
Episode 76	Reward 674.0	Epsilon 0.911	Steps 268477
Episode 77	Reward 973.0	Epsilon 0.909	Steps 273019
Episode 78	Reward 803.0	Epsilon 0.907	Steps 279035
Episode 79	Reward 943.0	Epsilon 0.905	Steps 283827
Episode 80	Reward 954.0	Epsilon 0.904	Steps 286935
Episode 81	Reward 499.0	Epsilon 0.904	Steps 289131
Episode 82	Reward 636.0	Epsilon 0.903	Steps 291257
Episode 83	Reward 522.0	Epsilon 0.903	Steps 291605
Episode 84	Reward 1144.0	Epsilon 0.902	Steps 295249
Episode 85	Reward 626.0	Epsilon 0.900	Steps 299396
Episode 86	Reward 910.0	Epsilon 0.900	Steps 300274
Episode 87	Reward 408.0	Epsilon 0.899	Steps 302662
Episode 88	Reward 999.0	Epsilon 0.898	Steps 305261
Episode 89	Reward 1844.0	Epsilon 0.897	Steps 309848
Episode 90	Reward 590.0	Epsilon 0.895	Steps 314093
Episode 91	Reward 350.0	Epsilon 0.895	Steps 314523
Episode 92	Reward 917.0	Epsilon 0.894	Steps 317137
Episode 93	Reward 654.0	Epsilon 0.894	Steps 317357
Episode 94	Reward 573.0	Epsilon 0.893	Steps 319554
Episode 95	Reward 882.0	Epsilon 0.892	Steps 323643
Episode 96	Reward 1319.0	Epsilon 0.891	Steps 328388
Episode 97	Reward 1035.0	Epsilon 0.890	Steps 330826
Episode 98	Reward 927.0	Epsilon 0.890	Steps 331464
Episode 99	Reward 1598.0	Epsilon 0.889	Steps 334222
Episode 100	Reward 1277.0	Epsilon 0.888	Steps 335447
Episode 101	Reward 729.0	Epsilon 0.887	Steps 339518
Episode 102	Reward 771.0	Epsilon 0.887	Steps 340270
Episode 103	Reward 750.0	Epsilon 0.886	Steps 340824
Episode 104	Reward 1518.0	Epsilon 0.885	Steps 344595
Episode 105	Reward 561.0	Epsilon 0.884	Steps 348705
Episode 106	Reward 581.0	Epsilon 0.882	Steps 352851
Episode 107	Reward 1061.0	Epsilon 0.881	Steps 356081
Episode 108	Reward 1125.0	Epsilon 0.880	Steps 358610
Episode 109	Reward 941.0	Epsilon 0.878	Steps 364655
Episode 110	Reward 551.0	Epsilon 0.878	Steps 366853
Episode 111	Reward 771.0	Epsilon 0.876	Steps 372869
Episode 112	Reward 1293.0	Epsilon 0.874	Steps 378329
Episode 113	Reward 855.0	Epsilon 0.873	Steps 382401
Episode 114	Reward 978.0	Epsilon 0.871	Steps 385518
Episode 115	Reward 691.0	Epsilon 0.871	Steps 387708
Episode 116	Reward 947.0	Epsilon 0.870	Steps 391202
Episode 117	Reward 605.0	Epsilon 0.869	Steps 393383
Episode 118	Reward 1080.0	Epsilon 0.867	Steps 398595
Episode 119	Reward 1587.0	Epsilon 0.866	Steps 401973
Episode 120	Reward 1219.0	Epsilon 0.865	Steps 406342
Episode 121	Reward 560.0	Epsilon 0.864	Steps 408586
Episode 122	Reward 558.0	Epsilon 0.863	Steps 410765
Episode 123	Reward 923.0	Epsilon 0.862	Steps 414863
Episode 124	Reward 850.0	Epsilon 0.861	Steps 418245
Episode 125	Reward 589.0	Epsilon 0.860	Steps 420428
Episode 126	Reward 759.0	Epsilon 0.859	Steps 422660
Episode 127	Reward 874.0	Epsilon 0.858	Steps 426734
Episode 128	Reward 793.0	Epsilon 0.857	Steps 428940
Episode 129	Reward 840.0	Epsilon 0.857	Steps 429915
Episode 130	Reward 543.0	Epsilon 0.857	Steps 430143
Episode 131	Reward 1126.0	Epsilon 0.856	Steps 432268
Episode 132	Reward 623.0	Epsilon 0.855	Steps 434493
Episode 133	Reward 857.0	Epsilon 0.855	Steps 435455
Episode 134	Reward 515.0	Epsilon 0.853	Steps 439687
Episode 135	Reward 831.0	Epsilon 0.852	Steps 442646
Episode 136	Reward 887.0	Epsilon 0.852	Steps 443302
Episode 137	Reward 1268.0	Epsilon 0.851	Steps 448010
Episode 138	Reward 592.0	Epsilon 0.849	Steps 452125
Episode 139	Reward 896.0	Epsilon 0.848	Steps 457272
Episode 140	Reward 743.0	Epsilon 0.847	Steps 458700
Episode 141	Reward 652.0	Epsilon 0.846	Steps 462792
Episode 142	Reward 1437.0	Epsilon 0.845	Steps 466116
Episode 143	Reward 1503.0	Epsilon 0.844	Steps 469231
Episode 144	Reward 792.0	Epsilon 0.842	Steps 473374
Episode 145	Reward 1242.0	Epsilon 0.842	Steps 474870
Episode 146	Reward 872.0	Epsilon 0.841	Steps 476034
Episode 147	Reward 790.0	Epsilon 0.841	Steps 477426
Episode 148	Reward 748.0	Epsilon 0.840	Steps 479797
