Episode 0	Reward 26.0	Epsilon 0.980276
Episode 1	Reward 229.0	Epsilon 0.931918
Episode 2	Reward 467.0	Epsilon 0.883796
Episode 3	Reward 110.0	Epsilon 0.835556
Episode 4	Reward 317.0	Epsilon 0.787434
Episode 5	Reward 403.0	Epsilon 0.73931
Episode 6	Reward 525.0	Epsilon 0.6911860000000001
Episode 7	Reward 401.0	Epsilon 0.643062
Episode 8	Reward 402.0	Epsilon 0.59494
Episode 9	Reward 741.0	Epsilon 0.562378
Episode 10	Reward 685.0	Epsilon 0.522996
Episode 11	Reward 652.0	Epsilon 0.47487199999999996
Episode 12	Reward 518.0	Epsilon 0.426748
Episode 13	Reward 529.0	Epsilon 0.37862399999999996
Episode 14	Reward 774.0	Epsilon 0.3305
Episode 15	Reward 785.0	Epsilon 0.28237599999999996
Episode 16	Reward 761.0	Epsilon 0.24992400000000004
Episode 17	Reward 654.0	Epsilon 0.23301000000000005
Episode 18	Reward 1161.0	Epsilon 0.194882
Episode 19	Reward 759.0	Epsilon 0.16849599999999998
Episode 20	Reward 1330.0	Epsilon 0.13547399999999998
Episode 21	Reward 1412.0	Epsilon 0.08754200000000001
Episode 22	Reward 1115.0	Epsilon 0.05
Episode 23	Reward 1465.0	Epsilon 0.05
Episode 24	Reward 1637.0	Epsilon 0.05
Episode 25	Reward 1296.0	Epsilon 0.05
Episode 26	Reward 650.0	Epsilon 0.05
Episode 27	Reward 1691.0	Epsilon 0.05
Episode 28	Reward 1196.0	Epsilon 0.05
Episode 29	Reward 1920.0	Epsilon 0.05
Episode 30	Reward 937.0	Epsilon 0.05
Episode 31	Reward 1119.0	Epsilon 0.05
Episode 32	Reward 982.0	Epsilon 0.05
Episode 33	Reward 1494.0	Epsilon 0.05
Episode 34	Reward 1312.0	Epsilon 0.05
Episode 35	Reward 1859.0	Epsilon 0.05
Episode 36	Reward 1127.0	Epsilon 0.05
Episode 37	Reward 1189.0	Epsilon 0.05
Episode 38	Reward 948.0	Epsilon 0.05
Episode 39	Reward 1375.0	Epsilon 0.05
Episode 40	Reward 1549.0	Epsilon 0.05
Episode 41	Reward 656.0	Epsilon 0.05
Episode 42	Reward 1074.0	Epsilon 0.05
Episode 43	Reward 1989.0	Epsilon 0.05
Episode 44	Reward 873.0	Epsilon 0.05
Episode 45	Reward 1552.0	Epsilon 0.05
Episode 46	Reward 1292.0	Epsilon 0.05
Episode 47	Reward 1711.0	Epsilon 0.05
Episode 48	Reward 1650.0	Epsilon 0.05
Episode 49	Reward 1365.0	Epsilon 0.05
Episode 50	Reward 1744.0	Epsilon 0.05
